muni_code,muni
2204,Kuroishi
2205,Goshogawara
2206,Towada
2207,Misawa
2301,Hiranai
2304,Yomogita
2307,Sotogahama
2321,Ajigasawa
2343,Nishimeya
2361,Fujisaki
2362,Owani
2367,Inakadate
2381,Itayanagi
2384,Tsuruta
2405,Rokunohe
2406,Yokohama
2412,Oirase
2423,Oma
2426,Sai
2441,Sannohe
2443,Takko
2445,Nambu
2446,Hashikami
2450,Shingo
3203,Ofunato
3205,Hanamaki
3207,Kuji
3210,Rikuzentakata
3213,Ninohe
3302,Kuzumaki
3303,Iwate
3381,Kanegasaki
3402,Hiraizumi
3441,Sumita
3461,Otsuchi
3482,Yamada
3483,Iwaizumi
3484,Tanohata
3485,Fudai
3501,Karumai
3503,Noda
3506,Kunohe
3507,Hirono
3524,Ichinohe
4206,Shiroishi
4208,Kakuda
4301,Zao
4302,Shichikashuku
4321,Ogawara
4322,Murata
4324,Kawasaki
4341,Marumori
4362,Yamamoto
4421,Taiwa
4422,Osato
4424,Ohira
4444,Shikama
4501,Wakuya
4505,Misato
4581,Onagawa
4606,Minamisanriku
5201,Akita
5202,Noshiro
5203,Yokote
5204,Odate
5207,Yuzawa
5209,Kazuno
5211,Katagami
5214,Nikaho
5215,Semboku
5303,Kosaka
5327,Kamikoani
5346,Fujisato
5349,Happou
5361,Gojome
5363,Hachirogata
5366,Ikawa
5464,Higashinaruse
6202,Yonezawa
6205,Shinjo
6207,Kaminoyama
6208,Murayama
6209,Nagai
6211,Higashine
6212,Obanazawa
6213,Nanyo
6301,Yamanobe
6302,Nakayama
6321,Kahoku
6322,Nishikawa
6323,Asahi
6324,Oe
6341,Oishida
6361,Kaneyama
6363,Funagata
6364,Mamurogawa
6365,Okura
6366,Sakegawa
6367,Tozawa
6381,Takahata
6401,Oguni
6402,Shirataka
6403,Iide
6426,Mikawa
6461,Yuza
7203,Koriyama
7207,Sukagawa
7209,Soma
7210,Nihonmatsu
7212,Minamisoma
7213,Date
7214,Motomiya
7301,Kori
7303,Kunimi
7308,Kawamata
7322,Otama
7342,Kagamiishi
7344,Tenei
7362,Shimogo
7402,Kitashiobara
7405,Nishiaizu
7407,Bandai
7408,Inawashiro
7421,Aizubange
7422,Yugawa
7423,Yanaizu
7444,Mishima
7446,Showa
7447,Aizumisato
7461,Nishigo
7464,Izumizaki
7465,Nakajima
7466,Yabuki
7481,Tanagura
7482,Yamatsuri
7483,Hanawa
7484,Samegawa
7501,Ishikawa
7502,Tamakawa
7503,Hirata
7504,Asakawa
7505,Furudono
7521,Miharu
7522,Ono
7541,Hirono
7544,Kawauchi
7561,Shinchi
